run,case_id,mode,cell,source_case_id,ref_case_id,ref_swap_index,ref_swap_tag,sim_gen_ref,sim_gen_source,seed,status,target_audio,source_audio,timbre_ref_audio
v1sec_seq_pure_olddata_fix6_step-1000_quick20_d2d3_seed1234,seedtts_no_text_en_src_en_ref_same_gender_000000,no_text,en_src_en_ref_same_gender,seedtts_no_text_en_src_en_ref_same_gender_000000,,,,0.3446812331676483,0.6710134744644165,1234,ok,/inspire/qb-ilm2/project/embodied-multimodality/public/xyzhang/projects/MOSS-CodecVC/testset/outputs/ver2_9_v1sec_seq_pure_olddata_quick_eval/v1sec_seq_pure_olddata_fix6_step-1000_quick20_d2d3_seed1234/seedtts_no_text_en_src_en_ref_same_gender_000000.wav,/inspire/hdd/project/embodied-multimodality/public/TTSBackbone/inference_path/benchmark/en/common_voice_en_33966405-common_voice_en_33966407/prompt.wav,/inspire/hdd/project/embodied-multimodality/public/TTSBackbone/inference_path/benchmark/en/common_voice_en_28132727-common_voice_en_28132728/prompt.wav
v1sec_seq_pure_olddata_fix6_step-1000_quick20_d2d3_seed1234,seedtts_no_text_en_src_en_ref_same_gender_000001,no_text,en_src_en_ref_same_gender,seedtts_no_text_en_src_en_ref_same_gender_000001,,,,0.164391428232193,0.6096833348274231,1234,ok,/inspire/qb-ilm2/project/embodied-multimodality/public/xyzhang/projects/MOSS-CodecVC/testset/outputs/ver2_9_v1sec_seq_pure_olddata_quick_eval/v1sec_seq_pure_olddata_fix6_step-1000_quick20_d2d3_seed1234/seedtts_no_text_en_src_en_ref_same_gender_000001.wav,/inspire/hdd/project/embodied-multimodality/public/TTSBackbone/inference_path/benchmark/en/common_voice_en_23976710-common_voice_en_23976707/prompt.wav,/inspire/hdd/project/embodied-multimodality/public/TTSBackbone/inference_path/benchmark/en/common_voice_en_20089981-common_voice_en_20150573/prompt.wav
v1sec_seq_pure_olddata_fix6_step-1000_quick20_d2d3_seed1234,seedtts_no_text_en_src_en_ref_same_gender_000002,no_text,en_src_en_ref_same_gender,seedtts_no_text_en_src_en_ref_same_gender_000002,,,,0.14736513793468475,0.7785172462463379,1234,ok,/inspire/qb-ilm2/project/embodied-multimodality/public/xyzhang/projects/MOSS-CodecVC/testset/outputs/ver2_9_v1sec_seq_pure_olddata_quick_eval/v1sec_seq_pure_olddata_fix6_step-1000_quick20_d2d3_seed1234/seedtts_no_text_en_src_en_ref_same_gender_000002.wav,/inspire/hdd/project/embodied-multimodality/public/TTSBackbone/inference_path/benchmark/en/common_voice_en_27434681-common_voice_en_27434685/prompt.wav,/inspire/hdd/project/embodied-multimodality/public/TTSBackbone/inference_path/benchmark/en/common_voice_en_21869715-common_voice_en_21869718/prompt.wav
v1sec_seq_pure_olddata_fix6_step-1000_quick20_d2d3_seed1234,seedtts_no_text_en_src_zh_ref_f2m_000000,no_text,en_src_zh_ref_f2m,seedtts_no_text_en_src_zh_ref_f2m_000000,,,,0.10792845487594604,0.5701929330825806,1234,ok,/inspire/qb-ilm2/project/embodied-multimodality/public/xyzhang/projects/MOSS-CodecVC/testset/outputs/ver2_9_v1sec_seq_pure_olddata_quick_eval/v1sec_seq_pure_olddata_fix6_step-1000_quick20_d2d3_seed1234/seedtts_no_text_en_src_zh_ref_f2m_000000.wav,/inspire/hdd/project/embodied-multimodality/public/TTSBackbone/inference_path/benchmark/en/common_voice_en_64065-common_voice_en_64062/prompt.wav,/inspire/hdd/project/embodied-multimodality/public/TTSBackbone/inference_path/benchmark/zh/00004660-00000053/prompt.wav
v1sec_seq_pure_olddata_fix6_step-1000_quick20_d2d3_seed1234,seedtts_no_text_en_src_zh_ref_f2m_000001,no_text,en_src_zh_ref_f2m,seedtts_no_text_en_src_zh_ref_f2m_000001,,,,0.07653384655714035,0.48460596799850464,1234,ok,/inspire/qb-ilm2/project/embodied-multimodality/public/xyzhang/projects/MOSS-CodecVC/testset/outputs/ver2_9_v1sec_seq_pure_olddata_quick_eval/v1sec_seq_pure_olddata_fix6_step-1000_quick20_d2d3_seed1234/seedtts_no_text_en_src_zh_ref_f2m_000001.wav,/inspire/hdd/project/embodied-multimodality/public/TTSBackbone/inference_path/benchmark/en/common_voice_en_123125-common_voice_en_123127/prompt.wav,/inspire/hdd/project/embodied-multimodality/public/TTSBackbone/inference_path/benchmark/zh/00005370-00000017/prompt.wav
v1sec_seq_pure_olddata_fix6_step-1000_quick20_d2d3_seed1234,seedtts_no_text_en_src_zh_ref_f2m_000002,no_text,en_src_zh_ref_f2m,seedtts_no_text_en_src_zh_ref_f2m_000002,,,,0.1302182674407959,0.5087661743164062,1234,ok,/inspire/qb-ilm2/project/embodied-multimodality/public/xyzhang/projects/MOSS-CodecVC/testset/outputs/ver2_9_v1sec_seq_pure_olddata_quick_eval/v1sec_seq_pure_olddata_fix6_step-1000_quick20_d2d3_seed1234/seedtts_no_text_en_src_zh_ref_f2m_000002.wav,/inspire/hdd/project/embodied-multimodality/public/TTSBackbone/inference_path/benchmark/en/common_voice_en_19671290-common_voice_en_19671293/prompt.wav,/inspire/hdd/project/embodied-multimodality/public/TTSBackbone/inference_path/benchmark/zh/10003257-00000033/prompt.wav
v1sec_seq_pure_olddata_fix6_step-1000_quick20_d2d3_seed1234,seedtts_no_text_en_src_zh_ref_m2f_000000,no_text,en_src_zh_ref_m2f,seedtts_no_text_en_src_zh_ref_m2f_000000,,,,0.10567361861467361,0.5643787384033203,1234,ok,/inspire/qb-ilm2/project/embodied-multimodality/public/xyzhang/projects/MOSS-CodecVC/testset/outputs/ver2_9_v1sec_seq_pure_olddata_quick_eval/v1sec_seq_pure_olddata_fix6_step-1000_quick20_d2d3_seed1234/seedtts_no_text_en_src_zh_ref_m2f_000000.wav,/inspire/hdd/project/embodied-multimodality/public/TTSBackbone/inference_path/benchmark/en/common_voice_en_35734335-common_voice_en_35734342/prompt.wav,/inspire/hdd/project/embodied-multimodality/public/TTSBackbone/inference_path/benchmark/zh/00004759-00000040/prompt.wav
v1sec_seq_pure_olddata_fix6_step-1000_quick20_d2d3_seed1234,seedtts_no_text_en_src_zh_ref_m2f_000001,no_text,en_src_zh_ref_m2f,seedtts_no_text_en_src_zh_ref_m2f_000001,,,,0.18925952911376953,0.3900126516819,1234,ok,/inspire/qb-ilm2/project/embodied-multimodality/public/xyzhang/projects/MOSS-CodecVC/testset/outputs/ver2_9_v1sec_seq_pure_olddata_quick_eval/v1sec_seq_pure_olddata_fix6_step-1000_quick20_d2d3_seed1234/seedtts_no_text_en_src_zh_ref_m2f_000001.wav,/inspire/hdd/project/embodied-multimodality/public/TTSBackbone/inference_path/benchmark/en/common_voice_en_13900-common_voice_en_13901/prompt.wav,/inspire/hdd/project/embodied-multimodality/public/TTSBackbone/inference_path/benchmark/zh/00004704-00000097/prompt.wav
v1sec_seq_pure_olddata_fix6_step-1000_quick20_d2d3_seed1234,seedtts_no_text_en_src_zh_ref_m2f_000002,no_text,en_src_zh_ref_m2f,seedtts_no_text_en_src_zh_ref_m2f_000002,,,,0.1219305619597435,0.3531883656978607,1234,ok,/inspire/qb-ilm2/project/embodied-multimodality/public/xyzhang/projects/MOSS-CodecVC/testset/outputs/ver2_9_v1sec_seq_pure_olddata_quick_eval/v1sec_seq_pure_olddata_fix6_step-1000_quick20_d2d3_seed1234/seedtts_no_text_en_src_zh_ref_m2f_000002.wav,/inspire/hdd/project/embodied-multimodality/public/TTSBackbone/inference_path/benchmark/en/common_voice_en_17401431-common_voice_en_17401433/prompt.wav,/inspire/hdd/project/embodied-multimodality/public/TTSBackbone/inference_path/benchmark/zh/00004688-00000118/prompt.wav
v1sec_seq_pure_olddata_fix6_step-1000_quick20_d2d3_seed1234,seedtts_no_text_en_src_zh_ref_same_gender_000000,no_text,en_src_zh_ref_same_gender,seedtts_no_text_en_src_zh_ref_same_gender_000000,,,,0.09210612624883652,0.6842361688613892,1234,ok,/inspire/qb-ilm2/project/embodied-multimodality/public/xyzhang/projects/MOSS-CodecVC/testset/outputs/ver2_9_v1sec_seq_pure_olddata_quick_eval/v1sec_seq_pure_olddata_fix6_step-1000_quick20_d2d3_seed1234/seedtts_no_text_en_src_zh_ref_same_gender_000000.wav,/inspire/hdd/project/embodied-multimodality/public/TTSBackbone/inference_path/benchmark/en/common_voice_en_21589881-common_voice_en_21589886/prompt.wav,/inspire/hdd/project/embodied-multimodality/public/TTSBackbone/inference_path/benchmark/zh/00004690-00000074/prompt.wav
