run,case_id,mode,cell,source_case_id,ref_case_id,ref_swap_index,ref_swap_tag,sim_gen_ref,sim_gen_source,seed,status,target_audio,source_audio,timbre_ref_audio
v1sec_seq_pure_olddata_fix6_step-2500_quick20_d2d3_seed1234,seedtts_no_text_en_src_en_ref_same_gender_000000,no_text,en_src_en_ref_same_gender,seedtts_no_text_en_src_en_ref_same_gender_000000,,,,0.2568627595901489,0.6775909662246704,1234,ok,/inspire/qb-ilm2/project/embodied-multimodality/public/xyzhang/projects/MOSS-CodecVC/testset/outputs/ver2_9_v1sec_seq_pure_olddata_quick_eval/v1sec_seq_pure_olddata_fix6_step-2500_quick20_d2d3_seed1234/seedtts_no_text_en_src_en_ref_same_gender_000000.wav,/inspire/hdd/project/embodied-multimodality/public/TTSBackbone/inference_path/benchmark/en/common_voice_en_33966405-common_voice_en_33966407/prompt.wav,/inspire/hdd/project/embodied-multimodality/public/TTSBackbone/inference_path/benchmark/en/common_voice_en_28132727-common_voice_en_28132728/prompt.wav
v1sec_seq_pure_olddata_fix6_step-2500_quick20_d2d3_seed1234,seedtts_no_text_en_src_en_ref_same_gender_000001,no_text,en_src_en_ref_same_gender,seedtts_no_text_en_src_en_ref_same_gender_000001,,,,0.27849557995796204,0.5516694188117981,1234,ok,/inspire/qb-ilm2/project/embodied-multimodality/public/xyzhang/projects/MOSS-CodecVC/testset/outputs/ver2_9_v1sec_seq_pure_olddata_quick_eval/v1sec_seq_pure_olddata_fix6_step-2500_quick20_d2d3_seed1234/seedtts_no_text_en_src_en_ref_same_gender_000001.wav,/inspire/hdd/project/embodied-multimodality/public/TTSBackbone/inference_path/benchmark/en/common_voice_en_23976710-common_voice_en_23976707/prompt.wav,/inspire/hdd/project/embodied-multimodality/public/TTSBackbone/inference_path/benchmark/en/common_voice_en_20089981-common_voice_en_20150573/prompt.wav
v1sec_seq_pure_olddata_fix6_step-2500_quick20_d2d3_seed1234,seedtts_no_text_en_src_en_ref_same_gender_000002,no_text,en_src_en_ref_same_gender,seedtts_no_text_en_src_en_ref_same_gender_000002,,,,0.1961229294538498,0.5802306532859802,1234,ok,/inspire/qb-ilm2/project/embodied-multimodality/public/xyzhang/projects/MOSS-CodecVC/testset/outputs/ver2_9_v1sec_seq_pure_olddata_quick_eval/v1sec_seq_pure_olddata_fix6_step-2500_quick20_d2d3_seed1234/seedtts_no_text_en_src_en_ref_same_gender_000002.wav,/inspire/hdd/project/embodied-multimodality/public/TTSBackbone/inference_path/benchmark/en/common_voice_en_27434681-common_voice_en_27434685/prompt.wav,/inspire/hdd/project/embodied-multimodality/public/TTSBackbone/inference_path/benchmark/en/common_voice_en_21869715-common_voice_en_21869718/prompt.wav
v1sec_seq_pure_olddata_fix6_step-2500_quick20_d2d3_seed1234,seedtts_no_text_en_src_zh_ref_f2m_000000,no_text,en_src_zh_ref_f2m,seedtts_no_text_en_src_zh_ref_f2m_000000,,,,0.09991050511598587,0.5940412878990173,1234,ok,/inspire/qb-ilm2/project/embodied-multimodality/public/xyzhang/projects/MOSS-CodecVC/testset/outputs/ver2_9_v1sec_seq_pure_olddata_quick_eval/v1sec_seq_pure_olddata_fix6_step-2500_quick20_d2d3_seed1234/seedtts_no_text_en_src_zh_ref_f2m_000000.wav,/inspire/hdd/project/embodied-multimodality/public/TTSBackbone/inference_path/benchmark/en/common_voice_en_64065-common_voice_en_64062/prompt.wav,/inspire/hdd/project/embodied-multimodality/public/TTSBackbone/inference_path/benchmark/zh/00004660-00000053/prompt.wav
v1sec_seq_pure_olddata_fix6_step-2500_quick20_d2d3_seed1234,seedtts_no_text_en_src_zh_ref_f2m_000001,no_text,en_src_zh_ref_f2m,seedtts_no_text_en_src_zh_ref_f2m_000001,,,,0.15843437612056732,0.3520900309085846,1234,ok,/inspire/qb-ilm2/project/embodied-multimodality/public/xyzhang/projects/MOSS-CodecVC/testset/outputs/ver2_9_v1sec_seq_pure_olddata_quick_eval/v1sec_seq_pure_olddata_fix6_step-2500_quick20_d2d3_seed1234/seedtts_no_text_en_src_zh_ref_f2m_000001.wav,/inspire/hdd/project/embodied-multimodality/public/TTSBackbone/inference_path/benchmark/en/common_voice_en_123125-common_voice_en_123127/prompt.wav,/inspire/hdd/project/embodied-multimodality/public/TTSBackbone/inference_path/benchmark/zh/00005370-00000017/prompt.wav
v1sec_seq_pure_olddata_fix6_step-2500_quick20_d2d3_seed1234,seedtts_no_text_en_src_zh_ref_f2m_000002,no_text,en_src_zh_ref_f2m,seedtts_no_text_en_src_zh_ref_f2m_000002,,,,0.14730046689510345,0.4050087034702301,1234,ok,/inspire/qb-ilm2/project/embodied-multimodality/public/xyzhang/projects/MOSS-CodecVC/testset/outputs/ver2_9_v1sec_seq_pure_olddata_quick_eval/v1sec_seq_pure_olddata_fix6_step-2500_quick20_d2d3_seed1234/seedtts_no_text_en_src_zh_ref_f2m_000002.wav,/inspire/hdd/project/embodied-multimodality/public/TTSBackbone/inference_path/benchmark/en/common_voice_en_19671290-common_voice_en_19671293/prompt.wav,/inspire/hdd/project/embodied-multimodality/public/TTSBackbone/inference_path/benchmark/zh/10003257-00000033/prompt.wav
v1sec_seq_pure_olddata_fix6_step-2500_quick20_d2d3_seed1234,seedtts_no_text_en_src_zh_ref_m2f_000000,no_text,en_src_zh_ref_m2f,seedtts_no_text_en_src_zh_ref_m2f_000000,,,,0.07722637057304382,0.47105884552001953,1234,ok,/inspire/qb-ilm2/project/embodied-multimodality/public/xyzhang/projects/MOSS-CodecVC/testset/outputs/ver2_9_v1sec_seq_pure_olddata_quick_eval/v1sec_seq_pure_olddata_fix6_step-2500_quick20_d2d3_seed1234/seedtts_no_text_en_src_zh_ref_m2f_000000.wav,/inspire/hdd/project/embodied-multimodality/public/TTSBackbone/inference_path/benchmark/en/common_voice_en_35734335-common_voice_en_35734342/prompt.wav,/inspire/hdd/project/embodied-multimodality/public/TTSBackbone/inference_path/benchmark/zh/00004759-00000040/prompt.wav
v1sec_seq_pure_olddata_fix6_step-2500_quick20_d2d3_seed1234,seedtts_no_text_en_src_zh_ref_m2f_000001,no_text,en_src_zh_ref_m2f,seedtts_no_text_en_src_zh_ref_m2f_000001,,,,0.37841445207595825,0.22696366906166077,1234,ok,/inspire/qb-ilm2/project/embodied-multimodality/public/xyzhang/projects/MOSS-CodecVC/testset/outputs/ver2_9_v1sec_seq_pure_olddata_quick_eval/v1sec_seq_pure_olddata_fix6_step-2500_quick20_d2d3_seed1234/seedtts_no_text_en_src_zh_ref_m2f_000001.wav,/inspire/hdd/project/embodied-multimodality/public/TTSBackbone/inference_path/benchmark/en/common_voice_en_13900-common_voice_en_13901/prompt.wav,/inspire/hdd/project/embodied-multimodality/public/TTSBackbone/inference_path/benchmark/zh/00004704-00000097/prompt.wav
v1sec_seq_pure_olddata_fix6_step-2500_quick20_d2d3_seed1234,seedtts_no_text_en_src_zh_ref_m2f_000002,no_text,en_src_zh_ref_m2f,seedtts_no_text_en_src_zh_ref_m2f_000002,,,,0.026050811633467674,0.38059931993484497,1234,ok,/inspire/qb-ilm2/project/embodied-multimodality/public/xyzhang/projects/MOSS-CodecVC/testset/outputs/ver2_9_v1sec_seq_pure_olddata_quick_eval/v1sec_seq_pure_olddata_fix6_step-2500_quick20_d2d3_seed1234/seedtts_no_text_en_src_zh_ref_m2f_000002.wav,/inspire/hdd/project/embodied-multimodality/public/TTSBackbone/inference_path/benchmark/en/common_voice_en_17401431-common_voice_en_17401433/prompt.wav,/inspire/hdd/project/embodied-multimodality/public/TTSBackbone/inference_path/benchmark/zh/00004688-00000118/prompt.wav
v1sec_seq_pure_olddata_fix6_step-2500_quick20_d2d3_seed1234,seedtts_no_text_en_src_zh_ref_same_gender_000000,no_text,en_src_zh_ref_same_gender,seedtts_no_text_en_src_zh_ref_same_gender_000000,,,,0.06435822695493698,0.7375300526618958,1234,ok,/inspire/qb-ilm2/project/embodied-multimodality/public/xyzhang/projects/MOSS-CodecVC/testset/outputs/ver2_9_v1sec_seq_pure_olddata_quick_eval/v1sec_seq_pure_olddata_fix6_step-2500_quick20_d2d3_seed1234/seedtts_no_text_en_src_zh_ref_same_gender_000000.wav,/inspire/hdd/project/embodied-multimodality/public/TTSBackbone/inference_path/benchmark/en/common_voice_en_21589881-common_voice_en_21589886/prompt.wav,/inspire/hdd/project/embodied-multimodality/public/TTSBackbone/inference_path/benchmark/zh/00004690-00000074/prompt.wav
